roadID,XCoord_0,YCoord_0,XCoord_1,YCoord_1
32603,816994,3385465,817098,3385699
32701,817688,3385509,817513,3385493
32702,817513,3385493,817370,3385487
32703,817370,3385487,817290,3385517
32704,817290,3385517,817098,3385699
32801,816987,3385413,817290,3385517
32901,820474,3385294,820708,3385607
32902,820708,3385607,820987,3385985
33001,816734,3385560,816994,3385465
33101,820206,3385514,819743,3385723
33201,821464,3385519,821439,3385644
33202,821439,3385644,821259,3385786
33203,821259,3385786,820987,3385985
33204,820987,3385985,820860,3386079
33205,820860,3386079,820712,3386188
33301,816022,3385267,816312,3385647
33302,816312,3385647,816558,3385979
33401,816312,3385647,816684,3385423
33501,819461,3385930,819330,3385808
33502,819330,3385808,819032,3385542
33503,819032,3385542,819082,3385319
33601,821815,3385575,821868,3385822
33602,821868,3385822,821950,3385979
33603,821950,3385979,822160,3386287
33701,817098,3385699,816848,3385837
33801,821259,3385786,821690,3386347
33901,817669,3385910,817688,3385509
34001,816558,3385979,816848,3385837
34101,817098,3385699,817289,3386002
34201,817289,3386002,817417,3385899
34202,817417,3385899,817669,3385910
34301,820712,3386188,820206,3385514
34401,821950,3385979,821866,3386094
34402,821866,3386094,821845,3386216
34403,821845,3386216,821690,3386347
34404,821690,3386347,821134,3386774
34501,816848,3385837,817027,3386235
34601,817027,3386235,817289,3386002
34701,821315,3387021,821134,3386774
34702,821134,3386774,820712,3386188
34801,816558,3385979,816758,3386349
34901,816758,3386349,817027,3386235
35001,817289,3386002,817517,3386259
35002,817517,3386259,817656,3386391
35101,817656,3386391,817669,3385910
35201,822160,3386287,821779,3386661
35202,821779,3386661,821315,3387021
35301,817027,3386235,817328,3386717
35401,817328,3386717,817656,3386391
35501,822160,3386287,822600,3386930
35502,822600,3386930,822802,3387208
35503,822802,3387208,822926,3387456
35601,816758,3386349,816918,3386644
35602,816918,3386644,816980,3386826
35701,816980,3386826,817219,3386784
35702,817219,3386784,817328,3386717
35801,817776,3387325,817443,3386884
35802,817443,3386884,817328,3386717
35901,817656,3386391,817983,3386779
35902,817983,3386779,818125,3387001
36001,823099,3387412,823094,3387243
